Size,Heap Sort Average,Insertion Sort Average,Quick Sort Average,Selection Sort Average
1000,1.7180158,0.6886011999999999,0.1478668,0.8415388
10000,6.740390400000001,6.434519,0.5439438000000001,25.5525284
50000,21.1231696,87.6257188,2.6133424,306.402689
100000,48.501039,364.22953939999996,6.7463695999999995,1212.692248
